snapshot,kingdom,basisOfRecord,occurrenceCount
6/17/09,2,PRESERVED_SPECIMEN,409
6/17/09,2,UNKNOWN,134
6/17/09,3,FOSSIL_SPECIMEN,649
6/17/09,3,HUMAN_OBSERVATION,260
6/17/09,3,LIVING_SPECIMEN,27168
6/17/09,3,OBSERVATION,33173
6/17/09,3,PRESERVED_SPECIMEN,67879
6/17/09,3,UNKNOWN,53981
6/17/09,4,FOSSIL_SPECIMEN,46780
6/17/09,4,HUMAN_OBSERVATION,755485
6/17/09,4,LIVING_SPECIMEN,3619
6/17/09,4,OBSERVATION,1698823
6/17/09,4,PRESERVED_SPECIMEN,120166
6/17/09,4,UNKNOWN,163882
6/17/09,5,FOSSIL_SPECIMEN,244
6/17/09,5,HUMAN_OBSERVATION,15522
6/17/09,5,LITERATURE,387
6/17/09,5,LIVING_SPECIMEN,95616
6/17/09,5,OBSERVATION,696007
6/17/09,5,PRESERVED_SPECIMEN,1528125
6/17/09,5,UNKNOWN,471474
6/17/09,6,FOSSIL_SPECIMEN,82394
6/17/09,6,HUMAN_OBSERVATION,681749
6/17/09,6,LITERATURE,41486
6/17/09,6,LIVING_SPECIMEN,457313
6/17/09,6,OBSERVATION,25239544
6/17/09,6,PRESERVED_SPECIMEN,15210385
6/17/09,6,UNKNOWN,16017750
6/17/09,7,FOSSIL_SPECIMEN,530
6/17/09,7,HUMAN_OBSERVATION,627
6/17/09,7,LIVING_SPECIMEN,2497
6/17/09,7,OBSERVATION,122863
6/17/09,7,PRESERVED_SPECIMEN,198993
6/17/09,7,UNKNOWN,9088
6/17/09,8,FOSSIL_SPECIMEN,1
6/17/09,8,LIVING_SPECIMEN,214
6/17/09,8,UNKNOWN,564
9/25/09,0,FOSSIL_SPECIMEN,35614
9/25/09,0,HUMAN_OBSERVATION,34937
9/25/09,0,LITERATURE,210
9/25/09,0,LIVING_SPECIMEN,1125
9/25/09,0,OBSERVATION,361469
9/25/09,0,PRESERVED_SPECIMEN,260654
9/25/09,0,UNKNOWN,280198
9/25/09,1,FOSSIL_SPECIMEN,691076
9/25/09,1,HUMAN_OBSERVATION,469018
9/25/09,1,LITERATURE,132078
9/25/09,1,LIVING_SPECIMEN,1520
9/25/09,1,OBSERVATION,84676813
9/25/09,1,PRESERVED_SPECIMEN,25484821
9/25/09,1,UNKNOWN,12362666
9/25/09,2,LIVING_SPECIMEN,400
9/25/09,2,PRESERVED_SPECIMEN,459
9/25/09,2,UNKNOWN,134
9/25/09,3,FOSSIL_SPECIMEN,649
